operation,time_mean,time_std,cpu_mean,cpu_std,memory_mean,memory_std,iterations,message_size,throughput
certificate_generation,0.0797020599800453,0.04891787571839807,3.0899999999999994,15.626839091767726,0.0090625,0.008320954347308968,50,,
message_signing,0.0009345516600296833,0.00012921030743437493,2.1859999999999973,13.99591383225833,0.0,0.0,50,100.0,107003.18053773913
message_signing,0.000974028220080072,0.00018383534073477138,2.3799999999999972,13.967218763948674,0.0,0.0,50,500.0,513332.1496156409
message_signing,0.0009884732801583595,0.00013396750772868345,4.337999999999998,16.283438089052325,0.0,0.0,50,1000.0,1011661.1344717318
message_signing,0.0009697008995863143,0.0001918752733871616,2.133999999999998,13.995808086709392,0.0,0.0,50,5000.0,5156229.103358632
message_signing,0.0009806958996341564,0.00012633859510777343,2.345999999999998,13.969698779859215,0.0,0.0,50,10000.0,10196840.83897001
signature_verification,0.00013376743940170854,1.4775843395779352e-05,2.7439999999999998,13.865109592065979,0.0,0.0,50,100.0,747566.0777186317
signature_verification,0.00013059252029052004,1.5684307387688593e-05,2.7519999999999993,13.858632544374643,0.0,0.0,50,500.0,3828703.1974548385
signature_verification,0.00012618250024388545,1.095586274431591e-05,2.6359999999999983,14.006566460057227,0.0,0.0,50,1000.0,7925029.20822777
signature_verification,0.0001260408000962343,1.4761707212335487e-05,3.7239999999999998,15.303457909897357,0.0,0.0,50,5000.0,39669694.227443926
signature_verification,0.00012864174001151697,1.1068179212934797e-05,2.6860000000000004,14.01604808781705,0.0,0.0,50,10000.0,77735266.94449815
